,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
387,sao joao da barra,-21.64,-41.05,73.4,88,90,23.04,BR,1573511110
388,aswan,24.09,32.9,84.2,45,0,8.05,EG,1573511111
389,tessalit,20.2,1.01,66.79,13,0,11.61,ML,1573511111
390,trang,7.56,99.61,75.2,100,20,3.36,TH,1573511111
391,aurad,18.25,77.42,67.68,85,0,3.62,IN,1573511111
392,dno,57.83,29.97,39.65,85,100,6.82,RU,1573511111
393,marfino,56.07,37.56,44.01,100,90,11.18,RU,1573511112
394,stephenville,48.55,-58.59,30.2,63,90,11.41,CA,1573511112
395,lakes entrance,-37.88,147.99,66.0,60,35,7.0,AU,1573511112
396,havre-saint-pierre,50.23,-63.6,19.4,73,1,11.41,CA,1573511112
397,pontiac,42.64,-83.29,30.99,100,90,8.05,US,1573511112
398,hazorasp,41.32,61.08,30.2,68,0,9.17,UZ,1573511113
399,bassano,50.79,-112.47,24.01,66,0,9.82,CA,1573511113
400,tongchuan,34.9,108.95,39.2,100,28,2.24,CN,1573511113
401,pulandian,39.4,121.96,42.8,81,67,2.24,CN,1573511113
402,rosetta,31.4,30.42,73.4,83,0,5.82,EG,1573511114
403,warrnambool,-38.38,142.48,55.0,62,98,11.99,AU,1573511114
404,matara,-3.48,29.48,60.22,86,100,3.22,BI,1573511114
405,lasa,34.92,32.53,69.8,37,0,5.82,CY,1573511114
406,san jeronimo,-13.65,-73.37,58.64,61,75,7.18,PE,1573511114
407,fuyu,47.79,124.46,21.7,32,79,6.58,CN,1573511115
408,caravelas,-17.73,-39.27,75.88,80,0,9.78,BR,1573511115
409,batagay-alyta,67.8,130.41,-4.58,98,97,2.57,RU,1573511115
410,rogovatoye,51.23,38.38,44.35,90,10,8.46,RU,1573511116
411,ucluelet,48.94,-125.55,52.0,100,90,5.82,CA,1573511004
412,kupang,-10.16,123.6,78.8,74,20,8.37,ID,1573511116
413,toktogul,41.87,72.95,25.72,21,0,5.79,KG,1573511116
414,oriximina,-1.77,-55.87,90.61,54,100,2.84,BR,1573511116
415,mlonggo,-6.53,110.7,78.8,78,20,18.77,ID,1573511117
416,burnie,-41.05,145.91,52.0,59,43,14.0,AU,1573511117
417,cabo san lucas,22.89,-109.91,79.0,64,90,5.82,MX,1573511117
418,champasak,14.89,105.88,67.68,97,96,1.95,LA,1573511117
419,srikakulam,18.29,83.89,72.41,84,21,4.68,IN,1573511118
420,richmond,49.16,-123.14,53.01,87,90,4.7,CA,1573511118
421,verkhoyansk,67.55,133.39,-16.62,95,98,1.25,RU,1573511118
422,ron,15.7,75.73,71.47,70,0,7.96,IN,1573511118
423,hami,42.84,93.51,36.86,33,100,6.13,CN,1573511119
424,shwebo,22.57,95.7,72.54,92,53,3.56,MM,1573511119
425,cartagena,37.63,-1.0,60.8,55,99,11.41,ES,1573511119
426,praya,-8.71,116.27,80.6,83,75,4.7,ID,1573511119
427,asadabad,34.78,48.12,26.6,68,0,2.24,IR,1573511119
428,lovington,32.94,-103.35,32.0,50,90,23.04,US,1573511026
429,marsh harbour,26.54,-77.06,77.31,72,41,19.89,BS,1573511120
430,coahuayana,18.62,-100.35,86.83,59,48,2.55,MX,1573511120
431,malkangiri,18.35,81.9,66.54,88,0,2.51,IN,1573511120
432,hirara,24.8,125.28,69.8,68,40,8.05,JP,1573511121
433,taoudenni,22.68,-3.98,69.93,16,0,13.0,ML,1573511121
434,parit buntar,5.13,100.49,78.8,88,75,2.28,MY,1573511121
435,usinsk,66.0,57.56,-3.64,96,2,9.46,RU,1573511121
436,herveo,5.08,-75.18,69.8,100,40,9.17,CO,1573511121
437,rabo de peixe,37.8,-25.58,62.6,82,40,5.82,PT,1573511122
438,kavaratti,10.57,72.64,81.54,72,9,4.61,IN,1573511122
439,pecos,31.42,-103.49,37.4,80,90,5.82,US,1573511122
440,den helder,52.96,4.76,46.4,81,75,17.22,NL,1573511122
441,magnolia,33.27,-93.24,64.4,100,90,9.17,US,1573510904
442,tarpon springs,28.15,-82.76,82.0,51,75,5.37,US,1573511123
443,muros,42.77,-9.06,52.0,93,75,1.12,ES,1573511123
444,oranjemund,-28.55,16.43,60.42,89,1,5.79,ZA,1573511124
445,quelimane,-17.88,36.89,78.8,88,40,6.93,MZ,1573511124
446,shingu,33.72,135.99,60.64,74,0,12.12,JP,1573511124
447,mangan,27.5,88.54,45.95,58,0,4.23,IN,1573511124
448,sola,-3.17,33.8,71.62,66,3,10.18,TZ,1573511124
449,iqaluit,63.75,-68.52,15.8,78,75,14.99,CA,1573511125
450,palmas,-10.18,-48.33,84.2,70,40,5.82,BR,1573511125
451,itarema,-2.92,-39.92,79.41,70,2,13.35,BR,1573511125
452,oktyabrskiy,55.61,37.97,44.01,87,90,8.95,RU,1573511125
453,henties bay,-22.12,14.28,57.99,93,0,5.01,NA,1573511126
454,lusambo,-4.97,23.44,70.47,98,100,3.56,CD,1573511126
455,grand gaube,-20.01,57.66,75.2,94,40,3.36,MU,1573511126
456,buraydah,26.33,43.97,64.4,100,75,6.93,SA,1573511126
457,sao paulo de olivenca,-3.38,-68.87,86.49,64,19,2.64,BR,1573511126
458,kologriv,58.83,44.31,38.32,96,100,8.1,RU,1573511127
459,arlit,18.74,7.39,85.33,15,61,8.48,NE,1573511127
460,jhelum,32.94,73.72,64.89,35,100,1.68,PK,1573511127
461,chiredzi,-21.05,31.67,76.66,69,100,0.6,ZW,1573511128
462,yeppoon,-23.13,150.74,77.0,57,40,10.29,AU,1573511128
463,moranbah,-22.0,148.04,70.2,54,0,3.85,AU,1573511128
464,bulgan,48.81,103.53,1.63,86,100,5.53,MN,1573511129
465,mana,13.03,5.27,85.41,23,94,6.2,NG,1573511129
466,launceston,-41.43,147.14,57.2,47,67,13.87,AU,1573510849
467,taltal,-25.41,-70.49,63.52,66,100,7.31,CL,1573511129
468,ishigaki,24.34,124.16,69.8,68,75,8.05,JP,1573511057
469,kauhajoki,62.43,22.18,27.0,100,90,1.12,FI,1573511130
470,broken hill,-31.97,141.45,62.6,59,0,26.4,AU,1573511130
471,redlands,34.06,-117.19,93.2,29,1,10.29,US,1573511130
472,lima,-12.06,-77.04,68.0,77,40,10.29,PE,1573511070
473,shimoda,34.7,138.93,55.99,72,0,1.01,JP,1573511131
474,whitehorse,60.72,-135.06,10.99,84,75,2.06,CA,1573510911
475,saint-augustin,45.63,-73.98,23.0,85,90,11.41,CA,1573511131
476,piltene,57.23,21.67,33.8,100,4,6.22,LV,1573511131
477,ondjiva,-17.07,15.73,76.87,51,42,6.29,AO,1573511132
478,qarqin,37.41,66.03,50.52,39,0,6.8,AF,1573511132
479,bela,26.23,66.31,73.6,50,20,3.06,PK,1573511132
480,acala,16.55,-92.81,86.0,51,40,3.36,MX,1573511132
481,joura,26.34,77.81,71.1,54,0,1.12,IN,1573511132
482,machaneng,-23.19,27.49,74.73,67,100,10.09,BW,1573511133
483,pacific grove,36.62,-121.92,86.0,59,1,4.7,US,1573511133
484,ciudad bolivar,8.12,-63.55,87.98,58,82,8.1,VE,1573511133
485,inuvik,68.36,-133.71,24.8,85,90,11.41,CA,1573511133
486,pangai,-19.8,-174.35,73.4,88,90,9.17,TO,1573511134
487,nelson bay,-32.72,152.14,80.01,36,0,8.05,AU,1573511134
488,jizan,16.89,42.56,84.2,66,0,4.7,SA,1573511134
489,abha,18.22,42.5,60.8,58,0,1.54,SA,1573511134
490,kosa,32.67,130.82,50.0,100,20,3.36,JP,1573511134
491,goure,13.98,10.27,86.0,16,90,2.28,NE,1573511135
492,pozhva,59.09,56.08,37.27,94,100,11.68,RU,1573511135
493,harer,42.19,-111.17,51.01,17,1,2.73,US,1573511135
494,moose factory,51.26,-80.61,6.8,65,90,3.36,CA,1573511135
495,mae sot,16.71,98.57,66.38,97,61,1.92,MM,1573511136
496,harbin,45.77,126.62,21.2,57,0,4.47,CN,1573511136
497,nuuk,64.17,-51.74,33.8,97,75,8.05,GL,1573511136
498,miraflores,-16.39,-71.52,59.0,67,75,6.93,PE,1573511136
499,tenango,20.53,-100.67,81.0,36,75,34.45,MX,1573511136
500,omboue,-1.57,9.26,74.26,97,100,2.51,GA,1573511137
501,mortara,45.25,8.74,46.4,100,75,8.05,IT,1573511137
502,jawhar,19.91,73.23,73.26,75,14,1.14,IN,1573511137
503,gouyave,12.16,-61.73,82.4,78,20,13.87,GD,1573511138
504,kailua,21.39,-157.74,87.8,69,75,8.05,US,1573511138
505,campoverde,-0.91,-78.62,55.0,81,90,4.7,EC,1573511138
506,chapais,49.78,-74.86,6.8,84,90,3.36,CA,1573511138
507,tezu,27.93,96.16,63.61,97,58,2.37,IN,1573511139
508,marsa matruh,31.35,27.25,68.0,77,0,2.24,EG,1573511139
509,chuguyevka,44.17,133.87,24.13,96,32,4.72,RU,1573511139
510,rakiv lis,51.62,24.92,39.6,91,31,3.69,UA,1573511139
511,byron bay,-28.65,153.62,77.0,61,24,9.17,AU,1573511025
512,lufilufi,-13.87,-171.6,87.8,70,20,9.17,WS,1573511140
513,novyy urengoy,66.08,76.63,-0.87,94,100,13.29,RU,1573511140
514,sao miguel do araguaia,-13.28,-50.16,85.28,55,42,1.41,BR,1573511140
515,hamilton,43.26,-79.87,28.0,92,90,23.04,CA,1573511140
516,mehamn,71.03,27.85,26.6,85,0,12.75,NO,1573511140
517,honiara,-9.43,159.96,80.6,88,20,1.25,SB,1573511141
518,neuquen,-38.95,-68.06,73.4,56,40,3.36,AR,1573511141
519,pisco,-13.71,-76.2,71.6,30,99,13.87,PE,1573511141
520,banda aceh,5.56,95.32,73.47,93,100,2.77,ID,1573511103
521,port said,25.34,30.55,73.0,40,0,6.96,EG,1573511142
522,coihaique,-45.58,-72.07,73.4,38,20,11.41,CL,1573511142
523,solnechnyy,50.72,136.64,23.92,95,100,0.69,RU,1573511142
524,kidal,18.44,1.41,71.98,7,0,15.19,ML,1573511142
525,chumphon,10.5,99.18,69.91,91,0,2.21,TH,1573511143
526,sioux lookout,50.1,-91.92,3.2,64,40,9.17,CA,1573510902
527,wanning,48.64,13.53,37.99,100,75,12.75,AT,1573511144
528,yulara,-25.24,130.99,73.4,31,16,17.22,AU,1573511144
529,constantine,36.36,6.61,37.4,93,75,5.82,DZ,1573511144
530,ponta delgada,37.73,-25.67,62.6,82,40,5.82,PT,1573511144
531,lagoa,37.14,-8.45,60.8,67,20,5.82,PT,1573511145
532,san juan bautista,-26.67,-57.15,84.6,52,95,5.82,PY,1573511145
533,humberto de campos,-2.6,-43.46,79.36,78,0,6.8,BR,1573511145
534,zvishavane,-20.32,30.05,65.82,90,100,4.68,ZW,1573511145
535,roma,41.89,12.48,59.0,87,40,8.05,IT,1573510872
536,alta,69.97,23.27,6.8,84,40,13.87,NO,1573511146
537,ercis,39.03,43.36,32.0,24,100,4.7,TR,1573511146
538,sao sebastiao,-3.15,-58.36,83.84,73,100,3.78,BR,1573511146
539,oranjestad,12.52,-70.03,84.2,79,20,16.11,AW,1573511146
540,cap malheureux,-19.98,57.61,75.2,94,40,3.36,MU,1573511147
541,recco,44.37,9.15,52.0,81,75,10.29,IT,1573511148
542,cuiluan,47.72,128.65,16.83,72,0,4.43,CN,1573511148
543,aksarka,66.56,67.8,4.64,96,100,5.61,RU,1573511148
544,agua branca,-5.89,-42.63,91.6,29,59,5.82,BR,1573511149
